Date;Joueur;Scores;Sets joues;Sets gagnes;Sets perdus;Developpement;Points
30/12/2021 19:47;Colas;2;84;47;37;20;1050
30/12/2021 19:47;Alice;0;24;7;17;40;857
31/12/2021 17:42;Colas;0;87;47;40;20;1041
31/12/2021 17:42;KRa;3;154;141;13;10;1275
01/01/2022 15:36;KRa;2;156;143;13;10;1276
01/01/2022 15:36;Pele;0;8;3;5;40;973
02/01/2022 13:31;Sutter;3;67;22;45;20;904
02/01/2022 13:31;Gessien;2;55;25;30;20;919
03/01/2022 11:26;Colas;2;90;49;41;20;1072
03/01/2022 11:26;KRa;1;159;144;15;10;1261
04/01/2022 09:21;Colas;1;94;50;44;20;1031
04/01/2022 09:21;PLN;3;48;9;39;20;952
05/01/2022 07:15;Bossard;3;3;3;0;40;1049
05/01/2022 07:15;PLN;0;51;9;42;20;928
06/01/2022 05:10;Bossard;3;6;6;0;40;1149
06/01/2022 05:10;KRa;0;162;144;18;10;1236
07/01/2022 03:05;Colas;0;97;50;47;20;1014
07/01/2022 03:05;Bossard;3;9;9;0;40;1183
08/01/2022 01:00;PLN;0;54;9;45;20;908
08/01/2022 01:00;Colas;3;100;53;47;20;1034
08/01/2022 22:54;Remi;0;2;0;2;40;989
08/01/2022 22:54;KRa;2;164;146;18;10;1238
09/01/2022 20:49;Colas;1;103;54;49;20;1011
09/01/2022 20:49;PLN;2;57;11;46;20;931
10/01/2022 18:44;Colas;2;105;56;49;20;1020
10/01/2022 18:44;LL;0;46;14;32;20;843
11/01/2022 16:38;KRa;3;167;149;18;10;1240
11/01/2022 16:38;PLN;0;60;11;49;20;926
12/01/2022 14:33;KRa;2;169;151;18;10;1241
12/01/2022 14:33;LL;0;48;14;34;20;840
13/01/2022 12:28;KRa;1;170;152;18;10;1241
13/01/2022 12:28;Alice;0;25;7;18;40;854
14/01/2022 10:23;Bossard;2;11;11;0;40;1191
14/01/2022 10:23;Sutter;0;69;22;47;20;900
15/01/2022 08:17;Bossard;2;13;13;0;40;1198
15/01/2022 08:17;Alice;0;27;7;20;40;847
16/01/2022 06:12;Sutter;2;71;24;47;20;915
16/01/2022 06:12;Alice;0;29;7;22;40;816
17/01/2022 04:07;KRa;2;173;154;19;10;1235
17/01/2022 04:07;Remi;1;5;1;4;40;1013
18/01/2022 02:01;KRa;2;175;156;19;10;1237
18/01/2022 02:01;Thibs;0;2;0;2;40;989
18/01/2022 23:56;Remi;2;7;3;4;40;1049
18/01/2022 23:56;Thibs;0;4;0;4;40;953
19/01/2022 21:51;Colas;2;107;58;49;20;1032
19/01/2022 21:51;Gessien;0;57;25;32;20;907
20/01/2022 19:46;Colas;0;109;58;51;20;1000
20/01/2022 19:46;LL;2;50;16;34;20;872
21/01/2022 17:40;Gessien;0;59;25;34;20;885
21/01/2022 17:40;LL;2;52;18;34;20;894
22/01/2022 15:35;PLN;1;63;12;51;20;922
22/01/2022 15:35;Pele;2;11;5;6;40;982
23/01/2022 13:30;PLN;2;65;14;51;20;947
23/01/2022 13:30;Antoine;0;2;0;2;40;949
24/01/2022 11:24;Pele;2;13;7;6;40;1016
24/01/2022 11:24;Antoine;0;4;0;4;40;915
25/01/2022 09:19;Bossard;2;15;15;0;10;1205
25/01/2022 09:19;LL;0;54;18;36;20;891
26/01/2022 07:14;KRa;2;177;158;19;10;1240
26/01/2022 07:14;Pele;0;15;7;8;40;1004
27/01/2022 05:09;Bossard;2;17;17;0;10;1216
27/01/2022 05:09;KRa;0;179;158;21;10;1229
28/01/2022 03:03;LL;2;57;20;37;20;913
28/01/2022 03:03;Pele;1;18;8;10;40;960
29/01/2022 00:58;Remi;0;9;3;6;40;1002
29/01/2022 00:58;Colas;2;111;60;51;20;1023
29/01/2022 22:53;PLN;2;67;16;51;20;964
29/01/2022 22:53;Sutter;0;73;24;49;20;898
30/01/2022 20:48;Colas;2;113;62;51;20;1038
30/01/2022 20:48;PLN;0;69;16;53;20;949
31/01/2022 18:42;Alice;0;31;7;24;20;796
31/01/2022 18:42;Thibs;2;6;2;4;40;973
01/02/2022 16:37;Gessien;2;61;27;34;20;907
01/02/2022 16:37;Antoine;0;6;0;6;40;871
02/02/2022 14:32;Thibs;0;8;2;6;40;924
02/02/2022 14:32;Gessien;2;63;29;34;20;931
03/02/2022 12:26;Alice;1;34;8;26;20;795
03/02/2022 12:26;Antoine;2;9;2;7;40;874
04/02/2022 10:21;Colas;3;116;65;51;20;1061
04/02/2022 10:21;Marin;0;58;24;34;20;962
05/02/2022 08:16;PLN;2;71;18;53;20;969
05/02/2022 08:16;Marin;0;60;24;36;20;942
06/02/2022 06:11;Colas;0;118;65;53;20;1035
06/02/2022 06:11;PLN;2;73;20;53;20;995
07/02/2022 04:05;KRa;3;182;161;21;10;1231
07/02/2022 04:05;Gessien;0;66;29;37;20;926
08/02/2022 02:00;KRa;3;185;164;21;10;1233
08/02/2022 02:00;Gessien;0;69;29;40;20;921
08/02/2022 23:55;Colas;3;122;68;54;20;1049
08/02/2022 23:55;Remi;1;13;4;9;40;973
09/02/2022 21:49;Marin;3;64;27;37;20;958
09/02/2022 21:49;Gessien;1;73;30;43;20;905
10/02/2022 19:44;Remi;2;18;6;12;40;928
10/02/2022 19:44;Gessien;3;78;33;45;20;927
11/02/2022 17:39;Colas;2;126;70;56;20;1036
11/02/2022 17:39;Marin;2;68;29;39;20;971
12/02/2022 15:34;KRa;3;188;167;21;10;1235
12/02/2022 15:34;Gessien;0;81;33;48;20;922
13/02/2022 13:28;KRa;3;193;170;23;10;1220
13/02/2022 13:28;Gessien;2;86;35;51;20;952
14/02/2022 11:23;Sutter;1;77;25;52;20;887
14/02/2022 11:23;Gessien;3;90;38;52;20;963
15/02/2022 09:18;PLN;1;74;21;53;20;1006
15/02/2022 09:18;Colas;0;127;70;57;20;1025
16/02/2022 07:12;Alice;0;35;8;27;20;793
16/02/2022 07:12;Colas;1;128;71;57;20;1027
17/02/2022 05:07;Alice;0;37;8;29;20;785
17/02/2022 05:07;Gessien;2;92;40;52;20;971
18/02/2022 03:02;LL;0;59;20;39;20;898
18/02/2022 03:02;Gessien;2;94;42;52;20;986
19/02/2022 00:57;LL;0;61;20;41;20;886
19/02/2022 00:57;PLN;2;76;23;53;20;1018
19/02/2022 22:51;Colas;3;131;74;57;20;1050
19/02/2022 22:51;Marin;0;71;29;42;20;948
20/02/2022 20:46;Marin;0;73;29;44;20;929
20/02/2022 20:46;Pele;2;20;10;10;40;998
21/02/2022 18:41;Colas;3;134;77;57;20;1074
21/02/2022 18:41;Pele;0;23;10;13;40;950
22/02/2022 16:36;KRa;3;196;173;23;10;1225
22/02/2022 16:36;PLN;0;79;23;56;20;1008
23/02/2022 14:30;KRa;3;199;176;23;10;1229
23/02/2022 14:30;PLN;0;82;23;59;20;999
24/02/2022 12:25;KRa;3;202;179;23;10;1233
24/02/2022 12:25;PLN;0;85;23;62;20;991
25/02/2022 10:20;KRa;3;205;182;23;10;1236
25/02/2022 10:20;Gessien;0;97;42;55;20;979
26/02/2022 08:14;KRa;3;208;185;23;10;1239
26/02/2022 08:14;Gessien;0;100;42;58;20;972
27/02/2022 06:09;PLN;3;88;26;62;20;1013
27/02/2022 06:09;Jacquet;0;15;3;12;40;883
28/02/2022 04:04;PLN;2;90;28;62;20;1023
28/02/2022 04:04;Jacquet;0;17;3;14;40;862
01/03/2022 01:59;Marin;1;77;30;47;20;913
01/03/2022 01:59;Pele;3;27;13;14;40;983
01/03/2022 23:53;Marin;0;78;30;48;20;906
01/03/2022 23:53;Pele;1;28;14;14;40;997
02/03/2022 21:48;KRa;3;212;188;24;10;1238
02/03/2022 21:48;Colas;1;138;78;60;20;1076
03/03/2022 19:43;KRa;3;215;191;24;10;1244
03/03/2022 19:43;Colas;0;141;78;63;20;1063
04/03/2022 17:37;KRa;3;218;194;24;10;1248
04/03/2022 17:37;PLN;0;93;28;65;20;1014
05/03/2022 15:32;KRa;3;221;197;24;10;1252
05/03/2022 15:32;PLN;0;96;28;68;20;1006
